Product ID,Product Name,Product Category,Color,Size,Unit Price,Sale Date,Order ID,Customer ID,State,Region,Sales Channel,Units Sold,Revenue,Discount,Profit
RD003,Princess Rubber Duck,Themed,Purple,Standard,22.31,2024-02-16,ORD100013,CUST7537,TN,South,Wholesale,28,593.45,31.23,167.28
RD008,Holiday Rubber Duck,Seasonal,Orange,Mini,6.53,2024-04-16,ORD100014,CUST1117,ID,West,Online,15,97.95,0.0,45.59
RD001,Classic Rubber Duck,Classic,Purple,Standard,23.0,2024-07-24,ORD100015,CUST4510,NY,Mid-Atlantic,Retail,22,506.0,0.0,213.26
RD008,Holiday Rubber Duck,Seasonal,Pink,Standard,20.95,2025-06-01,ORD100016,CUST7735,DE,Mid-Atlantic,Marketplace,13,272.35,0.0,143.19
RD001,Classic Rubber Duck,Classic,Orange,Standard,12.45,2024-01-25,ORD100017,CUST3296,ME,Northeast,Marketplace,22,273.9,0.0,133.62
RD003,Princess Rubber Duck,Themed,Yellow,Large,9.24,2023-07-20,ORD100018,CUST9856,MS,South,Online,5,39.27,6.93,9.15
RD002,Pirate Rubber Duck,Themed,Blue,Standard,12.52,2023-05-01,ORD100019,CUST1035,NJ,Mid-Atlantic,Marketplace,31,368.71,19.41,110.16
RD005,Glow Rubber Duck,Specialty,Blue,Mini,12.87,2024-08-30,ORD100020,CUST9883,WI,Midwest,Online,47,514.16,90.73,218.55
RD006,Mini Rubber Duck,Mini,Yellow,Mini,16.26,2025-11-06,ORD100021,CUST2122,ME,Northeast,Online,33,509.75,26.83,260.66
RD004,Superhero Rubber Duck,Themed,Orange,Mini,23.76,2023-03-23,ORD100022,CUST7868,MI,Midwest,Wholesale,37,835.16,43.96,312.32
RD005,Glow Rubber Duck,Specialty,Green,Standard,19.03,2024-09-06,ORD100023,CUST2188,DC,Mid-Atlantic,Online,16,274.03,30.45,106.89
RD008,Holiday Rubber Duck,Seasonal,Pink,Mini,24.91,2023-09-29,ORD100024,CUST5002,WY,West,Wholesale,5,118.32,6.23,46.52
RD005,Glow Rubber Duck,Specialty,Yellow,Large,21.5,2025-12-19,ORD100025,CUST5905,DE,Mid-Atlantic,Online,46,890.1,98.9,293.81
RD003,Princess Rubber Duck,Themed,Purple,Standard,22.67,2024-03-07,ORD100026,CUST4335,WV,South,Wholesale,48,1033.75,54.41,469.99
RD008,Holiday Rubber Duck,Seasonal,Yellow,Standard,5.06,2023-04-01,ORD100027,CUST3143,TX,South,Wholesale,41,176.34,31.12,39.97
RD003,Princess Rubber Duck,Themed,Orange,Mini,18.81,2023-11-02,ORD100028,CUST7049,ND,Midwest,Retail,36,677.16,0.0,353.5
RD007,Jumbo Rubber Duck,Large,Purple,Mini,10.46,2024-05-26,ORD100029,CUST6794,NY,Mid-Atlantic,Marketplace,3,28.24,3.14,12.47
RD003,Princess Rubber Duck,Themed,Green,Large,24.49,2024-11-11,ORD100030,CUST5065,NJ,Mid-Atlantic,Wholesale,12,249.8,44.08,115.73
RD003,Princess Rubber Duck,Themed,Pink,Standard,22.31,2025-07-31,ORD100031,CUST4728,MA,Northeast,Retail,31,657.03,34.58,311.3
RD001,Classic Rubber Duck,Classic,Green,Large,10.88,2025-11-09,ORD100032,CUST9785,DE,Mid-Atlantic,Wholesale,5,48.96,5.44,19.7
RD001,Classic Rubber Duck,Classic,Pink,Large,7.74,2025-06-08,ORD100033,CUST6139,VT,Northeast,Marketplace,17,131.58,0.0,68.8
RD002,Pirate Rubber Duck,Themed,Pink,Standard,7.98,2024-02-08,ORD100034,CUST2146,SD,Midwest,Wholesale,3,20.35,3.59,9.57
RD006,Mini Rubber Duck,Mini,Green,Large,22.89,2024-10-30,ORD100035,CUST5844,CT,Northeast,Retail,33,679.83,75.54,213.98
RD004,Superhero Rubber Duck,Themed,Green,Large,23.74,2024-09-08,ORD100036,CUST1006,NE,Midwest,Wholesale,44,992.33,52.23,361.54
RD005,Glow Rubber Duck,Specialty,Purple,Mini,20.49,2025-06-24,ORD100037,CUST9375,DE,Mid-Atlantic,Marketplace,39,719.2,79.91,266.71
RD003,Princess Rubber Duck,Themed,Purple,Standard,14.81,2024-04-26,ORD100038,CUST4680,VT,Northeast,Retail,41,546.49,60.72,259.07
RD003,Princess Rubber Duck,Themed,Purple,Large,9.13,2024-02-03,ORD100039,CUST7291,ME,Northeast,Marketplace,31,283.03,0.0,123.44
RD007,Jumbo Rubber Duck,Large,Blue,Large,17.77,2024-03-24,ORD100040,CUST9486,NJ,Mid-Atlantic,Marketplace,1,17.77,0.0,6.32
RD001,Classic Rubber Duck,Classic,Purple,Large,23.26,2025-08-09,ORD100041,CUST6198,NV,West,Marketplace,8,158.17,27.91,68.23
RD007,Jumbo Rubber Duck,Large,Purple,Standard,22.83,2024-05-21,ORD100042,CUST9540,ID,West,Marketplace,48,931.46,164.38,315.03
RD004,Superhero Rubber Duck,Themed,Orange,Mini,5.62,2024-10-16,ORD100043,CUST3267,MS,South,Retail,19,101.44,5.34,46.14
RD004,Superhero Rubber Duck,Themed,Orange,Standard,7.2,2024-11-08,ORD100044,CUST7812,KS,Midwest,Online,14,100.8,0.0,44.99
RD004,Superhero Rubber Duck,Themed,Green,Mini,22.99,2025-02-18,ORD100045,CUST6763,IA,Midwest,Wholesale,38,873.62,0.0,293.38
RD007,Jumbo Rubber Duck,Large,Green,Standard,19.69,2024-07-12,ORD100046,CUST1475,ND,Midwest,Marketplace,35,654.69,34.46,260.46
RD006,Mini Rubber Duck,Mini,Yellow,Standard,7.46,2025-12-29,ORD100047,CUST1444,KS,Midwest,Online,30,212.61,11.19,57.03
RD007,Jumbo Rubber Duck,Large,Pink,Standard,7.81,2025-07-20,ORD100048,CUST7211,DE,Mid-Atlantic,Wholesale,17,112.85,19.92,42.24
RD007,Jumbo Rubber Duck,Large,Blue,Large,5.71,2024-12-17,ORD100049,CUST2124,TX,South,Online,2,11.42,0.0,3.43
RD001,Classic Rubber Duck,Classic,Purple,Mini,21.61,2025-08-27,ORD100050,CUST4571,NJ,Mid-Atlantic,Marketplace,40,821.18,43.22,380.65
RD005,Glow Rubber Duck,Specialty,Pink,Mini,16.71,2023-12-02,ORD100051,CUST1420,NC,South,Wholesale,48,802.08,0.0,285.18
RD007,Jumbo Rubber Duck,Large,Purple,Large,8.15,2024-09-09,ORD100052,CUST2983,KS,Midwest,Online,38,294.22,15.48,146.97
RD006,Mini Rubber Duck,Mini,Green,Mini,17.88,2025-05-10,ORD100053,CUST8102,CO,West,Wholesale,5,80.46,8.94,39.95
RD008,Holiday Rubber Duck,Seasonal,Green,Standard,7.69,2025-09-17,ORD100054,CUST5397,DE,Mid-Atlantic,Wholesale,34,235.31,26.15,77.39
RD004,Superhero Rubber Duck,Themed,Pink,Mini,22.5,2025-02-15,ORD100055,CUST9098,VT,Northeast,Wholesale,16,306.0,54.0,92.71
RD003,Princess Rubber Duck,Themed,Orange,Mini,11.44,2024-07-19,ORD100056,CUST9464,IL,Midwest,Retail,17,175.03,19.45,73.92
RD002,Pirate Rubber Duck,Themed,Green,Mini,12.52,2025-10-02,ORD100057,CUST2524,DC,Mid-Atlantic,Wholesale,36,428.18,22.54,147.54
RD004,Superhero Rubber Duck,Themed,Pink,Standard,9.1,2025-12-23,ORD100058,CUST6419,KS,Midwest,Wholesale,43,352.17,39.13,129.79
RD008,Holiday Rubber Duck,Seasonal,Blue,Mini,9.27,2024-01-15,ORD100059,CUST8933,GA,South,Wholesale,8,70.45,3.71,31.23
RD005,Glow Rubber Duck,Specialty,Blue,Standard,10.21,2025-12-29,ORD100060,CUST1745,NH,Northeast,Online,24,232.79,12.25,104.01
RD005,Glow Rubber Duck,Specialty,Green,Standard,22.23,2024-08-05,ORD100061,CUST8216,DC,Mid-Atlantic,Wholesale,32,711.36,0.0,236.04
RD003,Princess Rubber Duck,Themed,Green,Mini,23.75,2025-03-31,ORD100062,CUST1878,VT,Northeast,Retail,31,736.25,0.0,253.62
RD003,Princess Rubber Duck,Themed,Orange,Large,5.78,2025-05-02,ORD100063,CUST4697,AZ,West,Marketplace,16,92.48,0.0,37.96
RD008,Holiday Rubber Duck,Seasonal,Orange,Large,22.05,2023-05-04,ORD100064,CUST2625,WI,Midwest,Retail,28,555.66,61.74,190.06
RD004,Superhero Rubber Duck,Themed,Yellow,Standard,5.69,2023-11-17,ORD100065,CUST8381,AR,South,Marketplace,16,86.49,4.55,32.96
RD005,Glow Rubber Duck,Specialty,Pink,Large,10.04,2024-04-23,ORD100066,CUST4241,NH,Northeast,Marketplace,19,162.15,28.61,72.91
RD002,Pirate Rubber Duck,Themed,Pink,Large,17.59,2023-12-06,ORD100067,CUST5728,NV,West,Marketplace,18,300.79,15.83,152.66
RD002,Pirate Rubber Duck,Themed,Green,Mini,10.38,2025-10-08,ORD100068,CUST1653,KS,Midwest,Marketplace,26,242.89,26.99,87.68
RD006,Mini Rubber Duck,Mini,Orange,Mini,4.53,2024-07-05,ORD100069,CUST3870,AZ,West,Marketplace,15,67.95,0.0,20.39
RD008,Holiday Rubber Duck,Seasonal,Pink,Standard,24.93,2025-08-20,ORD100070,CUST6460,NC,South,Wholesale,28,593.33,104.71,110.1
RD002,Pirate Rubber Duck,Themed,Orange,Mini,12.63,2025-03-31,ORD100071,CUST8451,PA,Mid-Atlantic,Online,32,363.74,40.42,114.92
RD006,Mini Rubber Duck,Mini,Purple,Large,6.42,2023-01-03,ORD100072,CUST8569,FL,South,Marketplace,50,272.85,48.15,58.99
RD001,Classic Rubber Duck,Classic,Blue,Standard,11.59,2023-04-16,ORD100073,CUST9998,MD,Mid-Atlantic,Retail,49,482.72,85.19,138.37
RD005,Glow Rubber Duck,Specialty,Orange,Mini,14.17,2024-09-28,ORD100074,CUST7684,KS,Midwest,Online,2,26.92,1.42,9.14
RD004,Superhero Rubber Duck,Themed,Orange,Large,23.88,2024-08-20,ORD100075,CUST5479,MA,Northeast,Marketplace,42,952.81,50.15,376.52
RD008,Holiday Rubber Duck,Seasonal,Purple,Mini,13.58,2025-11-06,ORD100076,CUST2143,IL,Midwest,Wholesale,10,115.43,20.37,47.85
RD007,Jumbo Rubber Duck,Large,Blue,Standard,14.65,2025-09-29,ORD100077,CUST9824,OK,South,Marketplace,1,13.18,1.47,3.93
RD006,Mini Rubber Duck,Mini,Purple,Mini,20.01,2024-01-22,ORD100078,CUST7274,TN,South,Retail,25,425.21,75.04,83.43
RD007,Jumbo Rubber Duck,Large,Green,Mini,19.63,2023-11-08,ORD100079,CUST3068,VT,Northeast,Wholesale,46,767.53,135.45,274.03
RD002,Pirate Rubber Duck,Themed,Purple,Mini,15.03,2025-04-19,ORD100080,CUST2225,MI,Midwest,Marketplace,30,450.9,0.0,166.56
RD005,Glow Rubber Duck,Specialty,Green,Standard,18.54,2025-12-28,ORD100081,CUST8994,KY,South,Online,42,778.68,0.0,262.46
RD002,Pirate Rubber Duck,Themed,Yellow,Large,18.36,2025-06-07,ORD100082,CUST2646,DC,Mid-Atlantic,Marketplace,19,331.4,17.44,109.3
RD003,Princess Rubber Duck,Themed,Blue,Mini,4.96,2025-06-01,ORD100083,CUST9702,VA,South,Marketplace,4,17.86,1.98,7.15
RD003,Princess Rubber Duck,Themed,Blue,Standard,5.65,2023-10-21,ORD100084,CUST5161,NJ,Mid-Atlantic,Marketplace,25,134.19,7.06,53.05
RD005,Glow Rubber Duck,Specialty,Orange,Standard,22.92,2024-12-08,ORD100085,CUST7951,MA,Northeast,Wholesale,44,958.06,50.42,485.62
RD008,Holiday Rubber Duck,Seasonal,Orange,Standard,24.98,2025-01-05,ORD100086,CUST5837,SC,South,Online,31,774.38,0.0,379.99
RD007,Jumbo Rubber Duck,Large,Pink,Mini,15.87,2025-10-14,ORD100087,CUST6772,VA,South,Retail,44,698.28,0.0,225.09
RD004,Superhero Rubber Duck,Themed,Pink,Standard,18.22,2023-03-22,ORD100088,CUST1546,AZ,West,Wholesale,47,813.52,42.82,293.67
RD003,Princess Rubber Duck,Themed,Orange,Large,10.85,2025-01-19,ORD100089,CUST5465,VT,Northeast,Retail,27,278.3,14.65,131.77
RD005,Glow Rubber Duck,Specialty,Blue,Mini,19.67,2023-06-04,ORD100090,CUST7511,WI,Midwest,Wholesale,22,432.74,0.0,187.34
RD002,Pirate Rubber Duck,Themed,Orange,Standard,9.54,2024-06-20,ORD100091,CUST7086,OH,Midwest,Online,8,64.87,11.45,23.49
RD004,Superhero Rubber Duck,Themed,Purple,Mini,17.0,2024-03-29,ORD100092,CUST8606,OH,Midwest,Wholesale,36,550.8,61.2,135.37
RD007,Jumbo Rubber Duck,Large,Yellow,Mini,4.94,2023-08-26,ORD100093,CUST9807,NH,Northeast,Retail,3,13.34,1.48,2.98
RD007,Jumbo Rubber Duck,Large,Green,Large,18.07,2023-11-13,ORD100094,CUST2622,MN,Midwest,Marketplace,48,737.26,130.1,219.59
RD007,Jumbo Rubber Duck,Large,Pink,Mini,18.49,2024-04-28,ORD100095,CUST7018,VA,South,Wholesale,14,220.03,38.83,74.76
RD001,Classic Rubber Duck,Classic,Purple,Large,7.98,2024-03-10,ORD100096,CUST1349,WI,Midwest,Online,8,54.26,9.58,24.07
RD006,Mini Rubber Duck,Mini,Orange,Mini,20.52,2024-02-29,ORD100097,CUST4817,NJ,Mid-Atlantic,Wholesale,14,287.28,0.0,98.41
RD003,Princess Rubber Duck,Themed,Yellow,Large,9.81,2023-12-24,ORD100098,CUST1422,CA,West,Retail,10,93.19,4.91,35.8
RD001,Classic Rubber Duck,Classic,Yellow,Mini,20.55,2024-06-27,ORD100099,CUST7897,OK,South,Online,38,702.81,78.09,348.32
RD002,Pirate Rubber Duck,Themed,Orange,Mini,20.33,2024-03-29,ORD100100,CUST9543,MO,Midwest,Wholesale,33,670.89,0.0,293.18
RD008,Holiday Rubber Duck,Seasonal,Purple,Standard,24.96,2025-10-01,ORD100101,CUST2204,ME,Northeast,Online,26,551.62,97.34,148.28
RD006,Mini Rubber Duck,Mini,Pink,Standard,5.37,2025-12-22,ORD100102,CUST9282,WA,West,Marketplace,18,86.99,9.67,34.29
RD002,Pirate Rubber Duck,Themed,Green,Standard,17.66,2024-04-12,ORD100103,CUST8430,CT,Northeast,Marketplace,50,838.85,44.15,346.56
RD007,Jumbo Rubber Duck,Large,Purple,Standard,12.95,2023-11-09,ORD100104,CUST2099,VT,Northeast,Online,43,501.16,55.69,198.47
RD002,Pirate Rubber Duck,Themed,Orange,Large,6.02,2023-05-03,ORD100105,CUST6400,MA,Northeast,Online,48,260.06,28.9,71.39
RD007,Jumbo Rubber Duck,Large,Pink,Large,17.96,2023-04-16,ORD100106,CUST6119,TX,South,Wholesale,49,748.03,132.01,161.02
RD002,Pirate Rubber Duck,Themed,Pink,Large,8.46,2023-08-10,ORD100107,CUST7022,MT,West,Online,43,309.21,54.57,125.12
RD005,Glow Rubber Duck,Specialty,Yellow,Mini,20.94,2024-07-01,ORD100108,CUST5477,NV,West,Wholesale,36,753.84,0.0,299.84
RD006,Mini Rubber Duck,Mini,Yellow,Large,7.8,2023-03-04,ORD100109,CUST9691,VA,South,Retail,10,66.3,11.7,29.84
RD007,Jumbo Rubber Duck,Large,Yellow,Mini,11.15,2023-06-23,ORD100110,CUST3579,MO,Midwest,Online,24,240.84,26.76,72.15
RD002,Pirate Rubber Duck,Themed,Orange,Mini,17.89,2024-03-17,ORD100111,CUST6655,MS,South,Marketplace,32,486.61,85.87,169.72
RD002,Pirate Rubber Duck,Themed,Orange,Mini,18.24,2025-03-20,ORD100112,CUST1125,AR,South,Retail,32,525.31,58.37,256.03
RD005,Glow Rubber Duck,Specialty,Purple,Standard,20.04,2025-10-15,ORD100113,CUST3878,NJ,Mid-Atlantic,Retail,19,342.68,38.08,159.92
RD007,Jumbo Rubber Duck,Large,Green,Mini,8.82,2023-03-28,ORD100114,CUST8532,AK,West,Online,36,285.77,31.75,137.16
RD006,Mini Rubber Duck,Mini,Yellow,Standard,16.03,2025-04-09,ORD100115,CUST3815,CO,West,Marketplace,46,626.77,110.61,241.58
RD006,Mini Rubber Duck,Mini,Yellow,Standard,21.72,2025-12-09,ORD100116,CUST6083,MA,Northeast,Wholesale,16,295.39,52.13,87.84
RD004,Superhero Rubber Duck,Themed,Pink,Standard,7.52,2024-02-02,ORD100117,CUST3419,OK,South,Retail,33,248.16,0.0,103.57
RD002,Pirate Rubber Duck,Themed,Blue,Large,8.13,2023-06-04,ORD100118,CUST9095,PA,Mid-Atlantic,Marketplace,39,301.22,15.85,98.28
RD008,Holiday Rubber Duck,Seasonal,Blue,Standard,17.33,2024-10-09,ORD100119,CUST2118,NM,West,Marketplace,40,623.88,69.32,162.17
RD008,Holiday Rubber Duck,Seasonal,Green,Standard,9.76,2024-09-27,ORD100120,CUST1616,OK,South,Online,4,35.14,3.9,12.62
RD006,Mini Rubber Duck,Mini,Green,Large,17.53,2023-03-26,ORD100121,CUST4084,WV,South,Wholesale,6,89.4,15.78,29.9
RD008,Holiday Rubber Duck,Seasonal,Purple,Mini,24.1,2024-12-04,ORD100122,CUST9266,WA,West,Retail,29,698.9,0.0,242.7
RD001,Classic Rubber Duck,Classic,Green,Standard,13.18,2024-08-02,ORD100123,CUST6543,DC,Mid-Atlantic,Online,29,363.11,19.11,156.34
RD006,Mini Rubber Duck,Mini,Pink,Mini,5.97,2023-11-04,ORD100124,CUST3317,VT,Northeast,Wholesale,44,223.28,39.4,86.41
RD005,Glow Rubber Duck,Specialty,Blue,Large,16.49,2024-11-03,ORD100125,CUST9624,IN,Midwest,Online,6,89.05,9.89,30.7
RD007,Jumbo Rubber Duck,Large,Green,Mini,4.37,2024-11-30,ORD100126,CUST4711,UT,West,Retail,20,83.03,4.37,22.92
RD003,Princess Rubber Duck,Themed,Orange,Standard,21.72,2023-09-26,ORD100127,CUST3527,VT,Northeast,Retail,7,152.04,0.0,58.46
RD003,Princess Rubber Duck,Themed,Purple,Large,22.95,2025-01-16,ORD100128,CUST4891,HI,West,Marketplace,47,916.85,161.8,419.68
RD005,Glow Rubber Duck,Specialty,Pink,Large,15.2,2024-02-02,ORD100129,CUST8218,IL,Midwest,Marketplace,20,258.4,45.6,52.9
RD005,Glow Rubber Duck,Specialty,Pink,Mini,15.07,2023-10-11,ORD100130,CUST8873,ND,Midwest,Wholesale,11,157.48,8.29,49.68
RD002,Pirate Rubber Duck,Themed,Blue,Standard,9.98,2025-11-17,ORD100131,CUST2502,OR,West,Retail,49,464.57,24.45,211.16
RD008,Holiday Rubber Duck,Seasonal,Pink,Mini,12.7,2023-06-17,ORD100132,CUST1461,VA,South,Wholesale,26,297.18,33.02,129.13
RD002,Pirate Rubber Duck,Themed,Purple,Mini,7.06,2025-08-25,ORD100133,CUST8685,OK,South,Marketplace,3,19.06,2.12,4.67
RD001,Classic Rubber Duck,Classic,Blue,Standard,9.36,2024-08-13,ORD100134,CUST2996,ME,Northeast,Online,10,79.56,14.04,34.84
RD004,Superhero Rubber Duck,Themed,Orange,Large,20.66,2025-10-20,ORD100135,CUST1269,NE,Midwest,Retail,30,619.8,0.0,323.71
RD003,Princess Rubber Duck,Themed,Purple,Large,4.02,2024-01-19,ORD100136,CUST2402,AL,South,Wholesale,23,87.84,4.62,33.04
RD002,Pirate Rubber Duck,Themed,Yellow,Large,14.64,2025-08-20,ORD100137,CUST7338,MT,West,Wholesale,33,483.12,0.0,218.56
RD005,Glow Rubber Duck,Specialty,Orange,Large,20.55,2023-08-01,ORD100138,CUST6447,VT,Northeast,Retail,23,449.02,23.63,149.72
RD001,Classic Rubber Duck,Classic,Purple,Standard,11.1,2025-08-09,ORD100139,CUST3986,TN,South,Retail,42,442.89,23.31,136.32
RD002,Pirate Rubber Duck,Themed,Pink,Large,10.15,2024-10-08,ORD100140,CUST7524,OH,Midwest,Marketplace,3,28.93,1.52,8.48
RD005,Glow Rubber Duck,Specialty,Pink,Mini,8.0,2024-11-10,ORD100141,CUST7029,CT,Northeast,Marketplace,23,184.0,0.0,61.37
RD007,Jumbo Rubber Duck,Large,Orange,Standard,11.11,2025-01-22,ORD100142,CUST2353,IA,Midwest,Marketplace,12,113.32,20.0,30.26
RD002,Pirate Rubber Duck,Themed,Pink,Large,24.89,2023-06-13,ORD100143,CUST5843,SD,Midwest,Wholesale,12,268.81,29.87,110.42
RD008,Holiday Rubber Duck,Seasonal,Purple,Standard,12.94,2023-03-28,ORD100144,CUST8126,AK,West,Wholesale,45,494.96,87.34,181.75
RD001,Classic Rubber Duck,Classic,Orange,Large,17.38,2023-10-20,ORD100145,CUST8179,CT,Northeast,Online,24,396.26,20.86,109.2
RD003,Princess Rubber Duck,Themed,Orange,Mini,20.34,2023-03-08,ORD100146,CUST8371,NH,Northeast,Wholesale,24,439.34,48.82,172.94
RD006,Mini Rubber Duck,Mini,Blue,Mini,16.04,2024-07-24,ORD100147,CUST1424,MI,Midwest,Retail,34,490.82,54.54,191.14
RD008,Holiday Rubber Duck,Seasonal,Blue,Large,23.17,2025-07-02,ORD100148,CUST5678,CO,West,Marketplace,8,166.82,18.54,47.5
RD004,Superhero Rubber Duck,Themed,Yellow,Large,21.9,2025-06-30,ORD100149,CUST6236,NH,Northeast,Wholesale,29,603.35,31.75,174.87
RD002,Pirate Rubber Duck,Themed,Pink,Large,10.09,2023-12-23,ORD100150,CUST4673,MT,West,Online,20,191.71,10.09,64.99
RD004,Superhero Rubber Duck,Themed,Green,Large,20.59,2025-01-25,ORD100151,CUST3126,NJ,Mid-Atlantic,Online,2,37.06,4.12,12.83
RD002,Pirate Rubber Duck,Themed,Orange,Mini,24.98,2025-04-18,ORD100152,CUST3053,AL,South,Wholesale,47,997.95,176.11,315.32
RD002,Pirate Rubber Duck,Themed,Blue,Standard,18.27,2024-01-08,ORD100153,CUST9238,MO,Midwest,Online,23,399.2,21.01,117.87
RD002,Pirate Rubber Duck,Themed,Pink,Large,10.38,2024-04-06,ORD100154,CUST5653,WA,West,Online,11,102.76,11.42,24.7
RD005,Glow Rubber Duck,Specialty,Yellow,Large,24.07,2025-12-28,ORD100155,CUST3762,DC,Mid-Atlantic,Retail,18,411.6,21.66,148.93
RD003,Princess Rubber Duck,Themed,Yellow,Mini,22.93,2023-02-28,ORD100156,CUST5336,AK,West,Retail,22,504.46,0.0,173.38
RD007,Jumbo Rubber Duck,Large,Green,Mini,4.63,2024-09-10,ORD100157,CUST7653,NM,West,Wholesale,41,170.85,18.98,54.96
RD008,Holiday Rubber Duck,Seasonal,Pink,Large,5.25,2024-02-22,ORD100158,CUST3353,CT,Northeast,Wholesale,29,129.41,22.84,42.47
RD006,Mini Rubber Duck,Mini,Yellow,Standard,6.74,2025-08-13,ORD100159,CUST8366,AL,South,Retail,24,161.76,0.0,76.06
RD003,Princess Rubber Duck,Themed,Pink,Large,10.08,2023-11-24,ORD100160,CUST6123,ME,Northeast,Retail,25,214.2,37.8,85.16
RD003,Princess Rubber Duck,Themed,Orange,Standard,13.79,2025-03-16,ORD100161,CUST4944,ND,Midwest,Retail,20,234.43,41.37,108.72
RD006,Mini Rubber Duck,Mini,Yellow,Standard,9.9,2023-01-17,ORD100162,CUST3194,ME,Northeast,Wholesale,39,328.19,57.91,126.86
RD006,Mini Rubber Duck,Mini,Yellow,Standard,4.94,2024-08-14,ORD100163,CUST9261,MN,Midwest,Marketplace,4,18.77,0.99,8.09
RD005,Glow Rubber Duck,Specialty,Orange,Standard,16.82,2024-11-25,ORD100164,CUST3363,NM,West,Retail,9,151.38,0.0,68.35
RD007,Jumbo Rubber Duck,Large,Green,Mini,4.94,2025-11-29,ORD100165,CUST9446,CA,West,Retail,9,40.01,4.45,11.07
RD006,Mini Rubber Duck,Mini,Orange,Large,7.4,2025-11-04,ORD100166,CUST9025,UT,West,Wholesale,40,266.4,29.6,89.26
RD008,Holiday Rubber Duck,Seasonal,Orange,Standard,10.95,2023-02-24,ORD100167,CUST5350,VT,Northeast,Retail,8,74.46,13.14,22.26
RD001,Classic Rubber Duck,Classic,Yellow,Large,7.57,2024-05-11,ORD100168,CUST2800,ID,West,Retail,41,263.81,46.56,112.68
RD001,Classic Rubber Duck,Classic,Purple,Large,12.78,2025-08-23,ORD100169,CUST2020,MN,Midwest,Retail,27,327.81,17.25,137.13
RD004,Superhero Rubber Duck,Themed,Green,Large,24.95,2023-12-21,ORD100170,CUST6608,UT,West,Wholesale,31,657.43,116.02,248.71
RD005,Glow Rubber Duck,Specialty,Pink,Standard,8.03,2024-04-05,ORD100171,CUST4396,ID,West,Marketplace,16,115.63,12.85,39.89
RD006,Mini Rubber Duck,Mini,Green,Standard,15.76,2025-02-16,ORD100172,CUST3399,MN,Midwest,Wholesale,47,666.65,74.07,280.03
RD001,Classic Rubber Duck,Classic,Blue,Large,5.65,2024-03-14,ORD100173,CUST5442,LA,South,Wholesale,29,147.46,16.39,43.11
RD003,Princess Rubber Duck,Themed,Blue,Large,19.55,2025-12-23,ORD100174,CUST4814,RI,Northeast,Online,16,297.16,15.64,152.43
RD002,Pirate Rubber Duck,Themed,Green,Large,19.05,2023-11-20,ORD100175,CUST8793,MN,Midwest,Marketplace,7,126.68,6.67,66.5
RD004,Superhero Rubber Duck,Themed,Orange,Large,9.98,2024-04-20,ORD100176,CUST1611,FL,South,Retail,4,39.92,0.0,15.45
RD007,Jumbo Rubber Duck,Large,Yellow,Mini,24.93,2024-08-15,ORD100177,CUST5888,NY,Mid-Atlantic,Online,26,550.95,97.23,229.08
RD006,Mini Rubber Duck,Mini,Orange,Standard,24.76,2023-10-02,ORD100178,CUST5470,MS,South,Retail,35,736.61,129.99,153.98
